area,title,position,community,total_price,size
静安区,整租·保德路1010弄 2室0厅 南,彭浦,保德路1010弄,4700.0,49.00
静安区,整租·柳营路1025弄 2室1厅 南,大宁,柳营路1025弄,6500.0,53.50
静安区,整租·达安花园 2室2厅 南,曹家渡,达安花园,13500.0,106.41
静安区,整租·皮裘公寓 1室1厅 南,南京西路,皮裘公寓,7500.0,32.00
静安区,整租·临汾路1515弄 1室1厅 南,彭浦,临汾路1515弄,3800.0,42.00
静安区,整租·康悦亚洲花园 2室2厅 南,彭浦,康悦亚洲花园,8500.0,112.05
静安区,整租·沧州大楼 3室2厅 南,南京西路,沧州大楼,24200.0,136.00
静安区,整租·慧芝湖花园 3室2厅 南/北,大宁,慧芝湖花园,21000.0,135.26
静安区,整租·金家巷西弄 1室0厅 南,曹家渡,金家巷西弄,5800.0,35.00
静安区,整租·新梅共和城 3室2厅 南/北,大宁,新梅共和城,12800.0,126.24
静安区,整租·柳营路1025弄 1室1厅 南,大宁,柳营路1025弄,4100.0,34.00
静安区,整租·广中西路818弄 1室2厅 南,大宁,广中西路818弄,5400.0,59.91
静安区,整租·沪太路651弄 2室0厅 南,大宁,沪太路651弄,5300.0,51.73
静安区,整租·绿色丽园 1室1厅 南,大宁,绿色丽园,6500.0,43.54
静安区,整租·南长小区 1室1厅 南,曹家渡,南长小区,6000.0,38.40
静安区,整租·洛川中路901弄 2室0厅 南/北,大宁,洛川中路901弄,6300.0,50.52
静安区,整租·静安四季公寓 3室2厅 南,曹家渡,静安四季公寓,16000.0,136.65
静安区,整租·大宁瑞仕花园 3室2厅 南,大宁,大宁瑞仕花园,16500.0,124.00
静安区,整租·三和花园 3室2厅 东北,曹家渡,三和花园,19000.0,123.83
静安区,整租·万航公寓 2室1厅 南,曹家渡,万航公寓,7000.0,49.00
静安区,整租·四和花园 1室1厅 南/北,曹家渡,四和花园,6200.0,36.00
静安区,整租·三和花园 1室1厅 南,曹家渡,三和花园,9500.0,75.77
静安区,整租·静安阳光名都 1室1厅 北,曹家渡,静安阳光名都,6500.0,33.36
静安区,整租·四和花园 1室0厅 北,曹家渡,四和花园,6000.0,28.00
静安区,整租·四和花园 1室1厅 南,曹家渡,四和花园,7200.0,39.15
静安区,整租·蓝朝部落 1室0厅 南,曹家渡,蓝朝部落,6400.0,45.13
静安区,整租·延平路237弄 1室1厅 南,曹家渡,延平路237弄,6900.0,44.19
静安区,整租·鸿力公寓 2室2厅 南,曹家渡,鸿力公寓,14500.0,116.00
静安区,整租·和源名城 2室2厅 南,彭浦,和源名城,7000.0,81.00
静安区,整租·彭豪公寓 2室1厅 南,彭浦,彭豪公寓,5600.0,71.53
静安区,整租·金家巷西弄 1室0厅 南,曹家渡,金家巷西弄,5800.0,35.00
静安区,整租·新梅共和城 3室2厅 南/北,大宁,新梅共和城,12800.0,126.24
静安区,整租·柳营路1025弄 2室1厅 南,大宁,柳营路1025弄,6500.0,53.50
静安区,整租·柳营路1025弄 1室1厅 南,大宁,柳营路1025弄,4100.0,34.00
静安区,整租·达安花园 2室2厅 南,曹家渡,达安花园,13500.0,106.41
静安区,整租·广中西路818弄 1室2厅 南,大宁,广中西路818弄,5400.0,59.91
静安区,整租·沪太路651弄 2室0厅 南,大宁,沪太路651弄,5300.0,51.73
静安区,整租·绿色丽园 1室1厅 南,大宁,绿色丽园,6500.0,43.54
静安区,整租·南长小区 1室1厅 南,曹家渡,南长小区,6000.0,38.40
静安区,整租·洛川中路901弄 2室0厅 南/北,大宁,洛川中路901弄,6300.0,50.52
静安区,整租·静安四季公寓 3室2厅 南,曹家渡,静安四季公寓,16000.0,136.65
静安区,整租·大宁瑞仕花园 3室2厅 南,大宁,大宁瑞仕花园,16500.0,124.00
静安区,整租·三和花园 3室2厅 东北,曹家渡,三和花园,19000.0,123.83
静安区,整租·宝华现代城 3室2厅 南,大宁,宝华现代城,18000.0,140.00
静安区,整租·平保小区 2室1厅 南/北,彭浦,平保小区,5600.0,45.00
静安区,整租·大宁金茂府 3室2厅 南/北,大宁,大宁金茂府,24500.0,112.00
静安区,整租·明园森林都市 3室2厅 南,大宁,明园森林都市,11000.0,88.00
静安区,整租·童家浜小区 1室1厅 南,大宁,童家浜小区,5500.0,45.50
静安区,整租·柳营路1025弄 1室1厅 南,大宁,柳营路1025弄,4400.0,31.81
静安区,整租·慧芝湖花园 2室2厅 南/北,大宁,慧芝湖花园,12500.0,89.00
静安区,整租·上工新村 1室0厅 南,大宁,上工新村,3999.0,27.85
静安区,整租·思美公寓 1室1厅 南,彭浦,思美公寓,5800.0,66.48
静安区,整租·柳营路1025弄 0室0厅 西,大宁,柳营路1025弄,13000.0,90.00
静安区,整租·上海滩大宁城(公寓) 3室2厅,大宁,上海滩大宁城(公寓),8500.0,93.00
静安区,整租·洛川中路1100弄 2室1厅 南/北,大宁,洛川中路1100弄,5000.0,43.00
静安区,整租·柳营路1025弄 2室1厅 南,大宁,柳营路1025弄,6500.0,64.00
静安区,整租·佳宁花园 4室2厅 南,大宁,佳宁花园,19500.0,206.17
静安区,整租·运城路315号 2室1厅 南,大宁,运城路315号,9500.0,80.00
静安区,整租·永乐苑 3室2厅 南/北,大宁,永乐苑,13600.0,131.00
静安区,整租·歌林春天馨园 1室0厅 南,大宁,歌林春天馨园,4200.0,30.00
静安区,整租·临汾路1320弄 1室1厅 南,彭浦,临汾路1320弄,3600.0,38.00
静安区,整租·广茂苑 3室2厅 南,大宁,广茂苑,10300.0,118.00
静安区,整租·枫景苑 3室2厅 南,大宁,枫景苑,13000.0,132.00
静安区,整租·保德路1010弄 2室1厅 南,彭浦,保德路1010弄,5000.0,53.00
静安区,整租·岭南路700弄 1室0厅 南,彭浦,岭南路700弄,3300.0,24.02
静安区,整租·静安慕舍 4室2厅 南/北,大宁,静安慕舍,25000.0,147.00
静安区,整租·盛源家豪城 3室2厅 南,大宁,盛源家豪城,15500.0,138.07
静安区,整租·景凤小区 2室1厅 东南,彭浦,景凤小区,6000.0,59.89
静安区,整租·慧芝湖花园 2室2厅 东南,大宁,慧芝湖花园,12000.0,91.07
静安区,整租·明园森林都市 3室2厅 南,大宁,明园森林都市,11500.0,88.40
静安区,整租·上海滩大宁城(公寓) 3室1厅 南/北,大宁,上海滩大宁城(公寓),12800.0,96.00
静安区,整租·明园森林都市 3室2厅 南/北,大宁,明园森林都市,12500.0,120.00
静安区,整租·保平小区 2室1厅 南,彭浦,保平小区,5200.0,65.00
静安区,整租·和源名城 2室2厅 南,彭浦,和源名城,7000.0,81.00
静安区,整租·彭豪公寓 2室1厅 南,彭浦,彭豪公寓,5600.0,71.53
静安区,整租·临汾路1564弄 2室1厅 南/北,彭浦,临汾路1564弄,5000.0,59.00
静安区,整租·保德公寓 1室2厅 南,彭浦,保德公寓,5000.0,65.12
静安区,整租·保德公寓 2室1厅 南/北,彭浦,保德公寓,5100.0,55.06
静安区,整租·广中苑 1室1厅 南,大宁,广中苑,6200.0,62.00
静安区,整租·申田大楼 1室1厅 南,静安寺,申田大楼,8300.0,52.70
静安区,整租·花园公寓(静安) 1室1厅 南,南京西路,花园公寓(静安),5000.0,20.00
