,区域,小区名称,户型,面积(㎡),价格(元/月),位置
0,东城,万国城MOMA,1室0厅,59.11 ,10000 ,北京市东城区万国城MOMA
1,东城,北官厅胡同2号院,3室0厅,56.92 ,6000 ,北京市东城区北官厅胡同2号院
2,东城,和平里三区,1室1厅,40.57 ,6900 ,北京市东城区和平里三区
3,东城,菊儿胡同,2室1厅,57.09 ,8000 ,北京市东城区菊儿胡同
4,东城,交道口北二条35号院,1室1厅,42.67 ,5500 ,北京市东城区交道口北二条35号院
5,东城,西营房,2室1厅,54.48 ,7200 ,北京市东城区西营房
6,东城,地坛北门,1室1厅,33.76 ,6000 ,北京市东城区地坛北门
7,东城,安外东河沿,1室1厅,37.62 ,5600 ,北京市东城区安外东河沿
8,东城,清水苑,1室1厅,45.61 ,6200 ,北京市东城区清水苑
9,东城,李村东里,2室1厅,57.35 ,5700 ,北京市东城区李村东里
10,东城,幸福北里,2室1厅,51.15 ,6500 ,北京市东城区幸福北里
11,东城,保利蔷薇,2室1厅,97.11 ,10000 ,北京市东城区保利蔷薇
12,东城,东板桥西巷,2室1厅,52.86 ,5800 ,北京市东城区东板桥西巷
13,东城,本家润园三期,2室1厅,63.09 ,7800 ,北京市东城区本家润园三期
14,东城,营房西街,2室1厅,62.95 ,7500 ,北京市东城区营房西街
15,东城,新景家园西区,1室1厅,57.24 ,7500 ,北京市东城区新景家园西区
16,东城,东花市北里东区,2室1厅,85.36 ,8800 ,北京市东城区东花市北里东区
17,东城,幸福家园一期,5室2厅,226.86 ,29000 ,北京市东城区幸福家园一期
18,东城,景泰西里西区,1室1厅,60.30 ,6200 ,北京市东城区景泰西里西区
19,东城,海晟名苑北区,1室1厅,70.86 ,12000 ,北京市东城区海晟名苑北区
20,东城,和平新城一期,2室1厅,122.76 ,14500 ,北京市东城区和平新城一期
21,东城,太华公寓,2室2厅,152.24 ,17000 ,北京市东城区太华公寓
22,东城,官书院,2室1厅,92.01 ,16000 ,北京市东城区官书院
23,东城,幸福家园二期,2室1厅,65.25 ,7800 ,北京市东城区幸福家园二期
24,东城,安外大街3号院,1室1厅,33.77 ,5500 ,北京市东城区安外大街3号院
25,东城,中海紫御公馆,2室2厅,90.15 ,13000 ,北京市东城区中海紫御公馆
26,东城,海晟名苑北区,1室0厅,45.62 ,9000 ,北京市东城区海晟名苑北区
27,东城,凯景铭座,3室1厅,156.20 ,16000 ,北京市东城区凯景铭座
28,东城,永定门东街西里,2室1厅,53.26 ,5000 ,北京市东城区永定门东街西里
29,东城,西青年沟,2室1厅,51.88 ,7300 ,北京市东城区西青年沟
30,东城,自由季,2室1卫,51.49 ,5800 ,北京市东城区自由季
31,东城,灯笼库胡同,2室1厅,65.41 ,9300 ,北京市东城区灯笼库胡同
32,东城,和平里六区,2室1厅,67.60 ,8000 ,北京市东城区和平里六区
33,东城,北新桥头条,2室1厅,50.23 ,7500 ,北京市东城区北新桥头条
34,东城,贡院头条,4室1厅,79.15 ,15000 ,北京市东城区贡院头条
35,东城,安贞苑50号院,2室1厅,65.82 ,6900 ,北京市东城区安贞苑50号院
36,东城,金鱼池东区,2室1厅,66.46 ,6000 ,北京市东城区金鱼池东区
37,东城,沙井胡同,2室1厅,25.15 ,7900 ,北京市东城区沙井胡同
38,东城,沙井胡同,1室1厅,12.30 ,4200 ,北京市东城区沙井胡同
39,东城,凯德华玺,2室1卫,73.86 ,13000 ,北京市东城区凯德华玺
40,东城,望陶园小区,2室2厅,89.66 ,8000 ,北京市东城区望陶园小区
41,东城,当代MOMA,1室1厅,105.68 ,25000 ,北京市东城区当代MOMA
42,东城,交道口东大街,3室1厅,93.28 ,10500 ,北京市东城区交道口东大街
43,东城,长安太和,1室1厅,105.21 ,25000 ,北京市东城区长安太和
44,东城,交林,2室1厅,55.46 ,8300 ,北京市东城区交林
45,东城,金世纪嘉园,1室1厅,68.62 ,7000 ,北京市东城区金世纪嘉园
46,东城,万国城MOMA,3室2厅,246.19 ,40000 ,北京市东城区万国城MOMA
47,东城,交道口东大街,1室1厅,62.42 ,8400 ,北京市东城区交道口东大街
48,东城,国瑞城西区,1室0厅,61.98 ,11500 ,北京市东城区国瑞城西区
49,东城,万国城MOMA,2室1厅,115.64 ,20000 ,北京市东城区万国城MOMA
50,东城,华龙美晟,2室1厅,80.59 ,7000 ,北京市东城区华龙美晟
51,东城,六铺炕,2室1厅,58.28 ,8000 ,北京市东城区六铺炕
52,东城,绿景苑,1室1厅,62.71 ,6800 ,北京市东城区绿景苑
53,东城,太华公寓,1室1厅,107.22 ,12500 ,北京市东城区太华公寓
54,东城,香河园街,1室1厅,43.52 ,6300 ,北京市东城区香河园街
55,东城,崇文门东大街,2室1厅,61.09 ,6800 ,北京市东城区崇文门东大街
56,东城,绿景馨园,2室1厅,85.23 ,8500 ,北京市东城区绿景馨园
57,东城,国瑞城西区,2室1厅,106.42 ,18000 ,北京市东城区国瑞城西区
58,东城,万国城MOMA,2室1厅,127.31 ,18000 ,北京市东城区万国城MOMA
59,东城,兴隆都市馨园,1室1厅,93.49 ,15000 ,北京市东城区兴隆都市馨园
60,东城,青年湖东里,1室1厅,46.22 ,6800 ,北京市东城区青年湖东里
61,东城,花市东三条,2室1厅,54.94 ,6500 ,北京市东城区花市东三条
62,东城,当代MOMA,2室2厅,151.51 ,28000 ,北京市东城区当代MOMA
63,东城,左安浦园,2室1厅,64.91 ,6500 ,北京市东城区左安浦园
64,东城,景泰东里,1室1厅,51.73 ,4700 ,北京市东城区景泰东里
72,东城,兴隆都市馨园,1室0厅,40.92 ,6500 ,北京市东城区兴隆都市馨园
75,东城,柏林寺西,2室1厅,60.68 ,7200 ,北京市东城区柏林寺西
76,东城,东华门大街,3室1厅,71.08 ,12600 ,北京市东城区东华门大街
77,东城,东花市北里中区,2室1厅,57.75 ,6800 ,北京市东城区东花市北里中区
78,东城,复康南里,2室1厅,47.55 ,5500 ,北京市东城区复康南里
79,东城,沙滩后街55号院,1室1厅,33.44 ,5400 ,北京市东城区沙滩后街55号院
80,东城,北京上舍,2室1厅,98.77 ,13000 ,北京市东城区北京上舍
81,东城,城市亮点,1室1厅,45.39 ,4800 ,北京市东城区城市亮点
82,东城,上龙西里,1室1厅,45.96 ,6300 ,北京市东城区上龙西里
83,东城,国瑞城西区,2室1厅,138.43 ,20000 ,北京市东城区国瑞城西区
84,东城,北河沿大街,2室1厅,58.73 ,9000 ,北京市东城区北河沿大街
85,东城,京禧阁,2室1厅,97.65 ,12000 ,北京市东城区京禧阁
86,东城,京宝花园,2室1厅,162.24 ,15000 ,北京市东城区京宝花园
87,东城,工体北里,2室1厅,45.70 ,7300 ,北京市东城区工体北里
88,东城,正东国际大厦,4室1厅,312.09 ,40000 ,北京市东城区正东国际大厦
89,东城,体育馆路13号,1室1厅,45.62 ,5700 ,北京市东城区体育馆路13号
90,东城,冠城名敦道,3室2厅,174.97 ,21000 ,北京市东城区冠城名敦道
93,东城,工体3号,1室1厅,101.55 ,18000 ,北京市东城区工体3号
94,东城,金隆基大厦,1室1卫,36.64 ,6900 ,北京市东城区金隆基大厦
95,东城,南弓匠营胡同,2室1厅,80.48 ,8500 ,北京市东城区南弓匠营胡同
96,东城,交道口东大街,1室1厅,82.44 ,10000 ,北京市东城区交道口东大街
97,东城,崇文门西大街,2室0厅,48.11 ,7600 ,北京市东城区崇文门西大街
98,东城,鼎盛园,1室1厅,69.24 ,6200 ,北京市东城区鼎盛园
99,东城,前门东大街,1室0厅,37.36 ,5500 ,北京市东城区前门东大街
